,Name,Rating,Rating_Count,ImageURL,actual_price
12,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",4.4,426973,https://m.media-amazon.com/images/I/41nPYaWA+ML._SY300_SX300_.jpg,700.0
47,"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black",4.4,426973,https://m.media-amazon.com/images/I/41bCxnHksnL._SY300_SX300_QL70_FMwebp_.jpg,475.0
65,"Amazon Basics High-Speed HDMI Cable, 6 Feet (2-Pack),Black",4.4,426973,https://m.media-amazon.com/images/I/41eJqkFjCRL._SY300_SX300_QL70_FMwebp_.jpg,1400.0
684,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",4.4,426972,https://m.media-amazon.com/images/I/41nPYaWA+ML._SY300_SX300_.jpg,700.0
352,boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink),4.1,363713,https://m.media-amazon.com/images/I/31J6I7SrLXL._SX300_SY300_QL70_ML2_.jpg,999.0
400,boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),4.1,363713,https://m.media-amazon.com/images/I/31qVddHyy5L._SX300_SY300_QL70_ML2_.jpg,999.0
584,boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),4.1,363711,https://m.media-amazon.com/images/I/31IdiM9ZM8L._SX300_SY300_QL70_FMwebp_.jpg,999.0
370,"Redmi 9 Activ (Carbon Black, 4GB RAM, 64GB Storage) | Octa-core Helio G35 | 5000 mAh Battery",4.1,313836,https://m.media-amazon.com/images/I/416SpYgTVYL._SX300_SY300_QL70_ML2_.jpg,10999.0
371,"Redmi 9A Sport (Coral Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",4.1,313836,https://m.media-amazon.com/images/I/41i7LM0pGwL._SX300_SY300_QL70_ML2_.jpg,8499.0
473,"Redmi 9A Sport (Carbon Black, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",4.1,313832,https://m.media-amazon.com/images/I/41P4Al+S3zL._SY300_SX300_.jpg,7999.0
566,"Redmi 9A Sport (Coral Green, 3GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",4.1,313832,https://m.media-amazon.com/images/I/41i7LM0pGwL._SX300_SY300_QL70_ML2_.jpg,9499.0
760,boAt Bassheads 225 in Ear Wired Earphones with Mic(Blue),4.1,273189,https://m.media-amazon.com/images/I/3101FmUqUOL._SX300_SY300_QL70_FMwebp_.jpg,999.0
